seed,regime,meanE_rms,meanE_line_length,meanE_spectral_entropy,meanE_low_power_rel,meanE_mid_power_rel,meanE_high_power_rel,spike_rms,spike_line_length,spike_spectral_entropy,spike_low_power_rel,spike_mid_power_rel,spike_high_power_rel
1,S1,1.6218923988799323,0.004502082258303394,0.9563294819993211,0.9999507707103081,4.8298821560621594e-05,9.304681242013298e-07,4.548989634337134,2.207,4.107685484319544,0.24799892276496957,0.38713279923200133,0.3648682780030237
2,S1,1.577072795214631,0.006053443146151775,0.9311842494720216,0.999972268613204,2.730728484350761e-05,4.241019466770452e-07,4.305399346920508,1.965,3.8716965081047148,0.3461032692580982,0.34178926394106207,0.3121074668008343
3,S1,1.9996553453377182,0.005608167451589841,0.9534511480286186,0.9999659196480222,3.3553451551470113e-05,5.269004195808578e-07,5.07889799023418,2.365,4.062789881011504,0.24796948104219332,0.4096997367397296,0.34233078221807145
4,S1,1.698616125741524,0.0025920485076784713,0.7054180617244568,0.9998818596284913,0.00011630649125317134,1.8338802321845664e-06,3.753386749045732,2.035,4.392893297082852,0.01964860760469481,0.4773599245282129,0.5029914678670884
5,S1,2.1649457929323868,0.004088988038074564,0.9236771285249342,0.9999515992857269,4.739424149523211e-05,1.0064727668133885e-06,4.951412274945757,2.479,4.42055212372239,0.0959715560870963,0.4110974514589237,0.4929309924539747
6,S1,1.472926668926626,0.0026604919490594145,0.5924598198664992,0.9998940374167347,0.00010411017569790444,1.8524075456413886e-06,3.7803054493928516,1.946,4.585874554769293,0.09885636096943598,0.48118537623167895,0.41995826279888104
7,S1,2.2746923205923633,0.003947812365812089,0.9277658790711348,0.9999208886081451,7.81863784524619e-05,9.250133893129867e-07,5.112324729109462,2.534,4.3350197257092775,0.07140357179756457,0.488349436297283,0.4402469919051476
8,S1,1.3385693865308825,0.0030695935888130532,0.8872419146839879,0.9998349500813896,0.00016236532409164692,2.6845945068755346e-06,4.063556018130858,2.173,4.584145858120841,0.07595731710846311,0.4329578685658476,0.4910848143256843
9,S1,2.1697336882671205,0.004909405574963571,0.9789473039106577,0.9999498666428713,4.937202393221915e-05,7.613331879465797e-07,5.532575404763193,2.556,4.2552877340673705,0.17695388464016473,0.46453395441503265,0.35851216094479765
10,S1,2.14875375016296,0.004740380914127757,0.9502030861677634,0.9998999901756337,9.913179800906474e-05,8.780263471722726e-07,5.231026320296655,2.446,4.171481803927939,0.10695004285270673,0.4966883701942336,0.39636158695305446
11,S1,1.7126883192741347,0.005757399304436693,0.9169390331699669,0.9999689964415286,3.0522099483623484e-05,4.814589814901819e-07,4.769408008050134,2.11,4.137513019476975,0.2599364789344519,0.3658612860820716,0.374202234983471
12,S1,2.007276013709321,0.004748773434553332,0.9847761826540439,0.9999426795343057,5.6681379794084435e-05,6.390858921416397e-07,5.059782465817933,2.498,4.173226267572527,0.21432477503325717,0.41554386920603553,0.37013135576070205
13,S1,1.7137859811410605,0.0034913898344895293,0.9379141627633112,0.9998710253908836,0.0001264256828883579,2.5489262130628214e-06,4.781436798927479,2.349,4.638760315744108,0.06873791860650273,0.42440518293861185,0.5068568984548807
14,S1,2.093531513136358,0.0040717200640295725,0.9532357338160709,0.9999452015307394,5.390571464690446e-05,8.927546040229214e-07,5.300180005613781,2.467,4.313982670362296,0.14747339200129334,0.3730844005069184,0.47944220749178346
15,S1,2.0791229339342867,0.004125470622486173,0.9895624004089716,0.9999337748691579,6.537805329722945e-05,8.470775347747321e-07,5.050593183824204,2.41,4.413576750403803,0.12586296045152298,0.4185767088321342,0.4555603307163375
16,S1,1.8474908132049614,0.0051737814556343225,0.9483821162832123,0.9999601808075046,3.900635306854026e-05,8.128394201687801e-07,5.361460131834867,2.606,4.326600231361137,0.20901465350165674,0.3553329160237572,0.43565243047458124
17,S1,1.6930831647667917,0.004210982077413405,0.9448017005855537,0.999948622351605,5.0510672523111604e-05,8.669758641456592e-07,4.74504842077344,2.305,4.384755212431481,0.16704379237923903,0.42170511491541546,0.4112510927053407
18,S1,2.147707131203234,0.004432313546535985,0.9659868362381224,0.9999155357565106,8.297580979798878e-05,1.4884336809436724e-06,5.198747255538879,2.607,4.417712900672048,0.1670851828155599,0.37564475588388185,0.4572700613005533
19,S1,2.7478439045937604,0.005094211737439264,0.9958460417471889,0.9998464895783954,0.00015252179626092934,9.886253290325562e-07,6.193919224904,2.737,3.4758563573614687,0.06319571826866388,0.6442817114116467,0.2925225703196846
