[step],ticks,decay-E-current,SEED
0,0,5.0,1
0,0,5.0,2
0,0,5.0,3
0,0,5.0,4
0,0,5.0,5
0,0,5.0,6
0,0,5.0,7
0,0,5.0,8
0,0,5.0,9
0,0,5.0,10
1,1,4.949999999999899,1
1,1,4.949999999999899,2
1,1,4.949999999999899,3
1,1,4.949999999999899,4
1,1,4.949999999999899,5
1,1,4.949999999999899,6
1,1,4.949999999999899,7
1,1,4.949999999999899,8
1,1,4.949999999999899,9
1,1,4.949999999999899,10
2,2,4.900500000000004,1
2,2,4.900500000000004,2
2,2,4.900500000000004,3
2,2,4.900500000000004,4
2,2,4.900500000000004,5
2,2,4.900500000000004,6
2,2,4.900500000000004,7
2,2,4.900500000000004,8
2,2,4.900500000000004,9
2,2,4.900500000000004,10
3,3,4.851494999999908,1
3,3,4.851494999999908,2
3,3,4.851494999999908,3
3,3,4.851494999999908,4
3,3,4.851494999999908,5
3,3,4.851494999999908,6
3,3,4.851494999999908,7
3,3,4.851494999999908,8
3,3,4.851494999999908,9
3,3,4.851494999999908,10
4,4,4.8029800499999284,1
4,4,4.8029800499999284,2
4,4,4.8029800499999284,3
4,4,4.8029800499999284,4
4,4,4.8029800499999284,5
4,4,4.8029800499999284,6
4,4,4.8029800499999284,7
4,4,4.8029800499999284,8
4,4,4.8029800499999284,9
4,4,4.8029800499999284,10
5,5,4.754950249500034,1
5,5,4.754950249500034,2
5,5,4.754950249500034,3
5,5,4.754950249500034,4
5,5,4.754950249500034,5
5,5,4.754950249500034,6
5,5,4.754950249500034,7
5,5,4.754950249500034,8
5,5,4.754950249500034,9
5,5,4.754950249500034,10
6,6,4.707400747004958,1
6,6,4.707400747004958,2
6,6,4.707400747004958,3
6,6,4.707400747004958,4
6,6,4.707400747004958,5
6,6,4.707400747004958,6
6,6,4.707400747004958,7
6,6,4.707400747004958,8
6,6,4.707400747004958,9
6,6,4.707400747004958,10
7,7,4.660326739534886,1
7,7,4.660326739534886,2
7,7,4.660326739534886,3
7,7,4.660326739534886,4
7,7,4.660326739534886,5
7,7,4.660326739534886,6
7,7,4.660326739534886,7
7,7,4.660326739534886,8
7,7,4.660326739534886,9
7,7,4.660326739534886,10
8,8,4.613723472139644,1
8,8,4.613723472139644,2
8,8,4.613723472139644,3
8,8,4.613723472139644,4
8,8,4.613723472139644,5
8,8,4.613723472139644,6
8,8,4.613723472139644,7
8,8,4.613723472139644,8
8,8,4.613723472139644,9
8,8,4.613723472139644,10
9,9,4.567586237418248,1
9,9,4.567586237418248,2
9,9,4.567586237418248,3
9,9,4.567586237418248,4
9,9,4.567586237418248,5
9,9,4.567586237418248,6
9,9,4.567586237418248,7
9,9,4.567586237418248,8
9,9,4.567586237418248,9
9,9,4.567586237418248,10
10,10,4.521910375044095,1
10,10,4.521910375044095,2
10,10,4.521910375044095,3
10,10,4.521910375044095,4
10,10,4.521910375044095,5
10,10,4.521910375044095,6
10,10,4.521910375044095,7
10,10,4.521910375044095,8
10,10,4.521910375044095,9
10,10,4.521910375044095,10
11,11,4.476691271293572,1
11,11,4.476691271293572,2
11,11,4.476691271293572,3
11,11,4.476691271293572,4
11,11,4.476691271293572,5
11,11,4.476691271293572,6
11,11,4.476691271293572,7
11,11,4.476691271293572,8
11,11,4.476691271293572,9
11,11,4.476691271293572,10
12,12,4.431924358580569,1
12,12,4.431924358580569,2
12,12,4.431924358580569,3
12,12,4.431924358580569,4
12,12,4.431924358580569,5
12,12,4.431924358580569,6
12,12,4.431924358580569,7
12,12,4.431924358580569,8
12,12,4.431924358580569,9
12,12,4.431924358580569,10
13,13,4.387605114994879,1
13,13,4.387605114994879,2
13,13,4.387605114994879,3
13,13,4.387605114994879,4
13,13,4.387605114994879,5
13,13,4.387605114994879,6
13,13,4.387605114994879,7
13,13,4.387605114994879,8
13,13,4.387605114994879,9
13,13,4.387605114994879,10
14,14,4.343729063844878,1
14,14,4.343729063844878,2
14,14,4.343729063844878,3
14,14,4.343729063844878,4
14,14,4.343729063844878,5
14,14,4.343729063844878,6
14,14,4.343729063844878,7
14,14,4.343729063844878,8
14,14,4.343729063844878,9
14,14,4.343729063844878,10
15,15,4.300291773206476,1
15,15,4.300291773206476,2
15,15,4.300291773206476,3
15,15,4.300291773206476,4
15,15,4.300291773206476,5
15,15,4.300291773206476,6
15,15,4.300291773206476,7
15,15,4.300291773206476,8
15,15,4.300291773206476,9
15,15,4.300291773206476,10
16,16,4.257288855474445,1
16,16,4.257288855474445,2
16,16,4.257288855474445,3
16,16,4.257288855474445,4
16,16,4.257288855474445,5
16,16,4.257288855474445,6
16,16,4.257288855474445,7
16,16,4.257288855474445,8
16,16,4.257288855474445,9
16,16,4.257288855474445,10
17,17,4.214715966919668,1
17,17,4.214715966919668,2
17,17,4.214715966919668,3
17,17,4.214715966919668,4
17,17,4.214715966919668,5
17,17,4.214715966919668,6
17,17,4.214715966919668,7
17,17,4.214715966919668,8
17,17,4.214715966919668,9
17,17,4.214715966919668,10
18,18,4.172568807250485,1
18,18,4.172568807250485,2
18,18,4.172568807250485,3
18,18,4.172568807250485,4
18,18,4.172568807250485,5
18,18,4.172568807250485,6
18,18,4.172568807250485,7
18,18,4.172568807250485,8
18,18,4.172568807250485,9
18,18,4.172568807250485,10
19,19,4.130843119177892,1
19,19,4.130843119177892,2
19,19,4.130843119177892,3
19,19,4.130843119177892,4
19,19,4.130843119177892,5
19,19,4.130843119177892,6
19,19,4.130843119177892,7
19,19,4.130843119177892,8
19,19,4.130843119177892,9
19,19,4.130843119177892,10
20,20,4.0895346879861085,1
20,20,4.0895346879861085,2
20,20,4.0895346879861085,3
20,20,4.0895346879861085,4
20,20,4.0895346879861085,5
20,20,4.0895346879861085,6
20,20,4.0895346879861085,7
20,20,4.0895346879861085,8
20,20,4.0895346879861085,9
20,20,4.0895346879861085,10
21,21,4.0486393411062185,1
21,21,4.0486393411062185,2
21,21,4.0486393411062185,3
21,21,4.0486393411062185,4
21,21,4.0486393411062185,5
21,21,4.0486393411062185,6
21,21,4.0486393411062185,7
21,21,4.0486393411062185,8
21,21,4.0486393411062185,9
21,21,4.0486393411062185,10
22,22,4.008152947695215,1
22,22,4.008152947695215,2
22,22,4.008152947695215,3
22,22,4.008152947695215,4
22,22,4.008152947695215,5
22,22,4.008152947695215,6
22,22,4.008152947695215,7
22,22,4.008152947695215,8
22,22,4.008152947695215,9
22,22,4.008152947695215,10
23,23,3.968071418218236,1
23,23,3.968071418218236,2
23,23,3.968071418218236,3
23,23,3.968071418218236,4
23,23,3.968071418218236,5
23,23,3.968071418218236,6
23,23,3.968071418218236,7
23,23,3.968071418218236,8
23,23,3.968071418218236,9
23,23,3.968071418218236,10
24,24,3.928390704036159,1
24,24,3.928390704036159,2
24,24,3.928390704036159,3
24,24,3.928390704036159,4
24,24,3.928390704036159,5
24,24,3.928390704036159,6
24,24,3.928390704036159,7
24,24,3.928390704036159,8
24,24,3.928390704036159,9
24,24,3.928390704036159,10
25,25,3.889106796995732,1
25,25,3.889106796995732,2
25,25,3.889106796995732,3
25,25,3.889106796995732,4
25,25,3.889106796995732,5
25,25,3.889106796995732,6
25,25,3.889106796995732,7
25,25,3.889106796995732,8
25,25,3.889106796995732,9
25,25,3.889106796995732,10
26,26,3.850215729025849,1
26,26,3.850215729025849,2
26,26,3.850215729025849,3
26,26,3.850215729025849,4
26,26,3.850215729025849,5
26,26,3.850215729025849,6
26,26,3.850215729025849,7
26,26,3.850215729025849,8
26,26,3.850215729025849,9
26,26,3.850215729025849,10
27,27,3.8117135717356017,1
27,27,3.8117135717356017,2
27,27,3.8117135717356017,3
27,27,3.8117135717356017,4
27,27,3.8117135717356017,5
27,27,3.8117135717356017,6
27,27,3.8117135717356017,7
27,27,3.8117135717356017,8
27,27,3.8117135717356017,9
27,27,3.8117135717356017,10
28,28,3.77359643601813,1
28,28,3.77359643601813,2
28,28,3.77359643601813,3
28,28,3.77359643601813,4
