[step],KAPPA-E,RHO,THRESHOLD,SEED,final-total-spikes,active-neuron-fraction,mean-weight,weight-sd,mean-firing-rate,synchrony-index
500,0.0,0.01,1.5,7,1442,0.24,0.013140335039047614,0.0387852905261957,0.019226666666666666,0.712549056619736
500,0.0,0.01,1.5,8,6187,1.0,0.0677441028727529,0.08922011200133162,0.08249333333333334,0.33715226144604193
500,0.0,0.01,1.5,9,2376,0.37333333333333335,0.029608910394497038,0.08425370882019584,0.03168,0.5613888676109069
500,0.0,0.01,1.5,10,6225,1.0,0.06937236326044373,0.09696921883810618,0.083,0.35244489363380577
500,0.0,0.019,0.5,1,6756,1.0,0.07823513475389621,0.14397096301100185,0.09008,0.46850230516229613
500,0.0,0.019,0.5,2,6339,1.0,0.06902709069968839,0.10328459001285956,0.08452,0.42214638735455823
500,0.0,0.019,0.5,3,6808,1.0,0.08802861459272207,0.16565154080239403,0.09077333333333333,0.4897358819060036
500,0.0,0.019,0.5,4,6382,1.0,0.09025280597067531,0.14497251427932628,0.08509333333333334,0.3405463418522179
500,0.0,0.019,0.5,5,6581,1.0,0.11534922410288055,0.18401731577983427,0.08774666666666667,0.5204993061609772
500,0.0,0.019,0.5,6,6624,1.0,0.09777723825608378,0.1430860748379821,0.08832,0.4795834169158514
500,0.0,0.019,0.5,7,6702,1.0,0.07312389749958002,0.14692990734662786,0.08936,0.35600015917629313
500,0.0,0.019,0.5,8,6654,1.0,0.07598171362780484,0.13095069276298132,0.08872,0.4338530934038121
500,0.0,0.019,0.5,9,6741,1.0,0.09637567509793718,0.16368788521431832,0.08988,0.6078020035465582
500,0.0,0.019,0.5,10,6696,1.0,0.0868933312162326,0.15590851830414168,0.08928,0.3700227960739081
500,0.0,0.019,1.0,1,6652,1.0,0.07909181995335123,0.1234974787562308,0.08869333333333333,0.3608068007781608
500,0.0,0.019,1.0,2,5967,1.0,0.07386904051620202,0.09172615018675838,0.07956,0.4047207935341429
500,0.0,0.019,1.0,3,6533,1.0,0.07372071726073753,0.13047192347903502,0.08710666666666667,0.32291078700029946
500,0.0,0.019,1.0,4,5915,1.0,0.08150125397794376,0.11521155544774359,0.07886666666666667,0.4792339024335741
500,0.0,0.019,1.0,5,6296,1.0,0.10236150325690568,0.1554086543638364,0.08394666666666667,0.518594912480207
500,0.0,0.019,1.0,6,6359,1.0,0.09466332155282339,0.13128215027888,0.08478666666666666,0.49787976483213536
500,0.0,0.019,1.0,7,6536,1.0,0.06942917624804992,0.11865480990801672,0.08714666666666666,0.35769122012116067
500,0.0,0.019,1.0,8,6467,1.0,0.06844254264394362,0.10570981077442194,0.08622666666666666,0.33156068219059487
500,0.0,0.019,1.0,9,6655,1.0,0.08084842137459054,0.14385794587866416,0.08873333333333333,0.5010252566269427
500,0.0,0.019,1.0,10,6506,1.0,0.06087524089435308,0.10767225712294949,0.08674666666666667,0.31062459525028163
500,0.0,0.019,1.5,1,6441,1.0,0.07331457961905756,0.10588883726358812,0.08588,0.3343689272707852
500,0.0,0.019,1.5,2,1577,0.32666666666666666,0.015891276881157986,0.038434248453017475,0.021026666666666666,0.6546154928190443
500,0.0,0.019,1.5,3,3962,0.6533333333333333,0.041060778580306066,0.08812362819289296,0.05282666666666667,0.4538265103867494
500,0.0,0.019,1.5,4,2253,0.36666666666666664,0.024325611028552633,0.07337225068072793,0.03004,0.6688835833876474
500,0.0,0.019,1.5,5,1341,0.22666666666666666,0.017474958238320414,0.052197133520568435,0.01788,0.9395362915848474
500,0.0,0.019,1.5,6,6065,1.0,0.07702967303863903,0.10032342281759618,0.08086666666666667,0.4004617910945269
500,0.0,0.019,1.5,7,1442,0.24,0.013140335039047614,0.0387852905261957,0.019226666666666666,0.712549056619736
500,0.0,0.019,1.5,8,6187,1.0,0.0677441028727529,0.08922011200133162,0.08249333333333334,0.33715226144604193
500,0.0,0.019,1.5,9,2376,0.37333333333333335,0.029608910394497038,0.08425370882019584,0.03168,0.5613888676109069
500,0.0,0.019,1.5,10,6225,1.0,0.06937236326044373,0.09696921883810618,0.083,0.35244489363380577
500,0.5,0.001,0.5,1,1821,1.0,0.007665606764682209,0.003520965641812753,0.02428,1.170156127175505
500,0.5,0.001,0.5,2,1168,1.0,0.007335718573121189,0.0023705997332398674,0.015573333333333333,1.3876811161627651
500,0.5,0.001,0.5,3,1583,1.0,0.008009407446078995,0.004209574733263625,0.021106666666666666,1.4189918506151786
500,0.5,0.001,0.5,4,1222,0.9866666666666667,0.007273057937637023,0.0016849705676619425,0.016293333333333333,1.5059259854673832
500,0.5,0.001,0.5,5,1329,1.0,0.007413957721706823,0.0013611078576996306,0.01772,1.6839109721080558
500,0.5,0.001,0.5,6,1826,1.0,0.008902228313563548,0.009433929615348538,0.024346666666666666,1.0562829966856875
500,0.5,0.001,0.5,7,1510,1.0,0.00782331690022057,0.005292117000479312,0.020133333333333333,1.3895777975127515
500,0.5,0.001,0.5,8,1562,1.0,0.009998985432142187,0.013601166686291813,0.020826666666666667,1.1321694653252434
500,0.5,0.001,0.5,9,1534,1.0,0.008944612462887492,0.008212652506172568,0.020453333333333334,1.322884836604645
500,0.5,0.001,0.5,10,1677,1.0,0.007945474763726893,0.005465689570733078,0.02236,1.2251978043595886
500,0.5,0.001,1.0,1,913,1.0,0.007171644125586459,0.005005989526448988,0.012173333333333333,1.7414725704480052
500,0.5,0.001,1.0,2,966,0.9933333333333333,0.00693437548543904,0.0006976198821420227,0.01288,1.3859381108312052
500,0.5,0.001,1.0,3,792,1.0,0.00694504349796498,0.0010834555134417853,0.01056,1.7670693881716013
500,0.5,0.001,1.0,4,864,1.0,0.007182942461741524,0.0011630565166191823,0.01152,1.6851086669636373
500,0.5,0.001,1.0,5,1065,1.0,0.007889221217785083,0.0042834495137153246,0.0142,1.5725624611330389
500,0.5,0.001,1.0,6,971,1.0,0.0073597591064734095,0.003335496944111333,0.012946666666666667,1.4479098032544762
500,0.5,0.001,1.0,7,922,1.0,0.006898348089115669,0.0007563482431823458,0.012293333333333333,1.6948219812081333
500,0.5,0.001,1.0,8,896,1.0,0.006836561162062097,0.0008431843045301194,0.011946666666666666,1.620187787631262
500,0.5,0.001,1.0,9,888,1.0,0.006894644927697307,0.0006726159322594714,0.01184,1.785712572081791
500,0.5,0.001,1.0,10,994,1.0,0.007166762714001416,0.002522636983991083,0.013253333333333334,1.55911841345942
500,0.5,0.001,1.5,1,446,0.3333333333333333,0.006944479891099709,0.003470283930941868,0.005946666666666667,1.6766779635915103
500,0.5,0.001,1.5,2,733,0.9933333333333333,0.006938899646276743,0.002300407468684793,0.009773333333333334,1.4114297838605472
500,0.5,0.001,1.5,3,541,0.66,0.006821619703485706,0.0011421201741834677,0.007213333333333334,1.5860893640360227
500,0.5,0.001,1.5,4,717,0.9866666666666667,0.007215242302220378,0.0017295014022019623,0.00956,1.4253944599144723
500,0.5,0.001,1.5,5,570,1.0,0.007072612520736624,0.001352040109019195,0.0076,2.0405293334505834
500,0.5,0.001,1.5,6,612,0.98,0.007166672799453732,0.002854592601043818,0.00816,1.7344210680877343
500,0.5,0.001,1.5,7,855,1.0,0.007403930653573723,0.003090107963196121,0.0114,1.449796225345963
500,0.5,0.001,1.5,8,887,0.88,0.007212123809526011,0.0025179381940496,0.011826666666666666,1.0638888910811528
500,0.5,0.001,1.5,9,648,0.96,0.006954489018066107,0.0012545330190426827,0.00864,1.6305008553365725
500,0.5,0.001,1.5,10,774,0.9933333333333333,0.006888417778692206,0.0014355585980032211,0.01032,1.5535151654230477
500,0.5,0.01,0.5,1,3542,1.0,0.018769163054960965,0.02205245644930073,0.04722666666666667,0.5396454998780026
500,0.5,0.01,0.5,2,2549,1.0,0.014739112325118438,0.017847831405802338,0.033986666666666665,0.6044445952254426
500,0.5,0.01,0.5,3,3254,1.0,0.017689658053833726,0.024578689093772674,0.043386666666666664,0.628820298663817
500,0.5,0.01,0.5,4,2415,1.0,0.01740674426695028,0.02489515592821694,0.0322,0.6870188629753646
500,0.5,0.01,0.5,5,3048,1.0,0.020049884676271782,0.02433932500331637,0.04064,0.6790834970183667
500,0.5,0.01,0.5,6,3017,1.0,0.019338719614825105,0.029824883739043816,0.04022666666666667,0.6069264722032969
500,0.5,0.01,0.5,7,2558,1.0,0.012799056018016881,0.01849346031357521,0.03410666666666667,0.7703812069851786
500,0.5,0.01,0.5,8,2775,1.0,0.01621077664995747,0.023901014048133887,0.037,0.6783933741665201
500,0.5,0.01,0.5,9,2747,1.0,0.014183610736799405,0.016844183646678036,0.03662666666666667,0.725004831683485
500,0.5,0.01,0.5,10,2835,1.0,0.017586803504773884,0.021222730964895558,0.0378,0.6005878240658209
500,0.5,0.01,1.0,1,1912,1.0,0.010376851979431454,0.009921268078407541,0.025493333333333333,0.8326130928214389
500,0.5,0.01,1.0,2,1857,1.0,0.009417553483747936,0.008380844573913101,0.02476,0.7183738946415087
500,0.5,0.01,1.0,3,1672,1.0,0.009844053245193857,0.00863285273279334,0.02229333333333333,0.8181237380738939
500,0.5,0.01,1.0,4,1534,0.9933333333333333,0.011643257084131978,0.015287864990323972,0.020453333333333334,0.7439692519879396
500,0.5,0.01,1.0,5,2338,1.0,0.014984391471685565,0.01929422591440423,0.031173333333333334,0.7622600145506329
500,0.5,0.01,1.0,6,2122,1.0,0.015236340327626103,0.02046438908175598,0.028293333333333334,0.6979490772075589
500,0.5,0.01,1.0,7,2142,1.0,0.013351422167694573,0.016734452287406183,0.02856,0.732194571409759
500,0.5,0.01,1.0,8,1544,1.0,0.009880860586919928,0.01081255300236881,0.020586666666666666,0.9264502608170189
500,0.5,0.01,1.0,9,1767,1.0,0.009579974316075204,0.01122055544066204,0.02356,0.9155926692620622
500,0.5,0.01,1.0,10,2115,1.0,0.0110285079749267,0.012304883378256828,0.0282,0.6988436046470272
500,0.5,0.01,1.5,1,1203,0.9533333333333334,0.008721435897986612,0.007644449025666757,0.01604,0.7540803671488402
500,0.5,0.01,1.5,2,1294,1.0,0.009081083225421713,0.007851412546329557,0.017253333333333332,0.8688705890379631
500,0.5,0.01,1.5,3,1436,1.0,0.009475839459237755,0.008042705904732302,0.019146666666666666,0.7689683212236802
500,0.5,0.01,1.5,4,1051,0.9866666666666667,0.010035393344321804,0.009687706466533802,0.014013333333333333,1.1672190779430651
500,0.5,0.01,1.5,5,1055,1.0,0.009594014949550976,0.008444939616693434,0.014066666666666667,1.0273869982643329
500,0.5,0.01,1.5,6,1293,1.0,0.012581634372483576,0.01804258344716025,0.01724,0.8383407823850165
500,0.5,0.01,1.5,7,1351,1.0,0.009303933156613951,0.008666753115953892,0.018013333333333333,0.8919866953735994
500,0.5,0.01,1.5,8,1357,1.0,0.008537887645214442,0.006258948711833913,0.018093333333333333,0.8937693416949876
500,0.5,0.01,1.5,9,1192,0.9866666666666667,0.009493907794801595,0.008132683357611897,0.015893333333333332,0.861379267055725
500,0.5,0.01,1.5,10,1543,0.9933333333333333,0.01059955512146575,0.013016041993011403,0.020573333333333332,0.7298368485978591
500,0.5,0.019,0.5,1,3786,1.0,0.02108575105098332,0.024229159760926676,0.05048,0.5123548919085915
500,0.5,0.019,0.5,2,2926,1.0,0.015707950695432567,0.017213216459012776,0.03901333333333333,0.5395653439585754
500,0.5,0.019,0.5,3,4144,1.0,0.021155809698157113,0.02330563003841734,0.055253333333333335,0.5313793095782647
500,0.5,0.019,0.5,4,3008,1.0,0.01932355578280875,0.023848961271495186,0.040106666666666665,0.6180156390660004
500,0.5,0.019,0.5,5,3869,1.0,0.022335713510458644,0.02581677341330915,0.05158666666666667,0.5313818772354972
500,0.5,0.019,0.5,6,3709,1.0,0.029732477606701568,0.039916166482319014,0.049453333333333335,0.5058313970400209
500,0.5,0.019,0.5,7,3630,1.0,0.015771968774921135,0.018633750323373142,0.0484,0.5300797361823426
500,0.5,0.019,0.5,8,3684,1.0,0.024441989496380948,0.03146496989159957,0.04912,0.4845498915270541
500,0.5,0.019,0.5,9,4139,1.0,0.0238652010631674,0.027848425938924004,0.05518666666666667,0.5124731663065111
500,0.5,0.019,0.5,10,3333,1.0,0.019493581172926547,0.025525508747458292,0.04444,0.5512198479154522
500,0.5,0.019,1.0,1,3352,1.0,0.021633524333607653,0.024873928652011257,0.044693333333333335,0.48705653463034854
500,0.5,0.019,1.0,2,2379,1.0,0.014228196528827345,0.017756970191345867,0.03172,0.5775166165860709
500,0.5,0.019,1.0,3,2925,1.0,0.016408661291389303,0.01880907675480116,0.039,0.5534996525539408
500,0.5,0.019,1.0,4,2215,1.0,0.01774684192615902,0.025566961525115783,0.029533333333333335,0.627871241963836
500,0.5,0.019,1.0,5,2678,1.0,0.016852623821999684,0.018588479294354292,0.035706666666666664,0.6764734559655413
500,0.5,0.019,1.0,6,2419,1.0,0.014662123262057273,0.017266955239125505,0.032253333333333335,0.6427943228929401
500,0.5,0.019,1.0,7,2715,1.0,0.013552664308319883,0.014469032457719425,0.0362,0.6080948152853529
500,0.5,0.019,1.0,8,2633,1.0,0.02264471490196336,0.028724803605503377,0.03510666666666667,0.5636104561678401
500,0.5,0.019,1.0,9,2505,1.0,0.015417262487308417,0.023129931565044733,0.0334,0.6564266411112417
500,0.5,0.019,1.0,10,2737,1.0,0.018141624647086275,0.0222135061590591,0.036493333333333336,0.5906650626287643
500,0.5,0.019,1.5,1,1647,1.0,0.010054391864142854,0.01021019564866333,0.02196,0.7147186343289281
500,0.5,0.019,1.5,2,1879,1.0,0.01195764383362462,0.0130206726591956,0.025053333333333334,0.621005071396177
500,0.5,0.019,1.5,3,1703,1.0,0.010997976044150898,0.013214993602138597,0.022706666666666667,0.7337436614976894
500,0.5,0.019,1.5,4,1220,0.9933333333333333,0.012311900224857335,0.014177568039623134,0.016266666666666665,0.8433934072808891
500,0.5,0.019,1.5,5,1383,1.0,0.00920704512702396,0.0054062130082681336,0.01844,1.00833344356106
500,0.5,0.019,1.5,6,1835,0.98,0.017278234775719364,0.025551358003930647,0.024466666666666668,0.718178496173146
500,0.5,0.019,1.5,7,1800,1.0,0.014288900756042045,0.017483521548899768,0.024,0.7661438650669761
500,0.5,0.019,1.5,8,1945,1.0,0.012508287960988358,0.014015039666925558,0.025933333333333333,0.5967487105252521
500,0.5,0.019,1.5,9,2270,1.0,0.01773011529998952,0.024882516535796304,0.030266666666666667,0.5962231661859974
500,0.5,0.019,1.5,10,2000,1.0,0.013440583014608527,0.015447763127389921,0.02666666666666667,0.6223138670302923
500,1.0,0.001,0.5,1,1397,1.0,0.007849863845032539,0.004437229786665824,0.018626666666666666,1.2072929991059742
500,1.0,0.001,0.5,2,822,0.9866666666666667,0.0069429248397183535,0.0012062015332310837,0.01096,1.7394487177943019
500,1.0,0.001,0.5,3,893,1.0,0.007096263323821582,0.0029147767396792866,0.011906666666666666,1.8923853890153328
500,1.0,0.001,0.5,4,805,0.9933333333333333,0.007010444435187549,0.002404629767625021,0.010733333333333333,1.7779917896004216
500,1.0,0.001,0.5,5,689,1.0,0.00687827719264455,0.0005239743102472904,0.009186666666666666,2.6379127380209493
500,1.0,0.001,0.5,6,928,1.0,0.007416430164809636,0.0032052028492394794,0.012373333333333333,1.7808814955597154
500,1.0,0.001,0.5,7,1048,1.0,0.00783708945386355,0.005679797300854386,0.013973333333333334,1.5717135539675406
500,1.0,0.001,0.5,8,1079,1.0,0.00698388749905656,0.0018500271929767747,0.014386666666666667,1.505428290826845
500,1.0,0.001,0.5,9,724,1.0,0.006833907465063079,0.00039911848563791845,0.009653333333333333,2.4089870100283224
500,1.0,0.001,0.5,10,1056,1.0,0.007445125672248287,0.004918653101163966,0.01408,1.5704757212132594
500,1.0,0.001,1.0,1,614,0.9133333333333333,0.0071789178117066,0.003710098526437647,0.008186666666666667,1.630298867272621
500,1.0,0.001,1.0,2,680,1.0,0.006992319678902055,0.0023792563746184,0.009066666666666667,1.7495864944755035
500,1.0,0.001,1.0,3,444,0.96,0.006695374181189431,0.0003412466274421269,0.00592,2.2857018879911535
500,1.0,0.001,1.0,4,548,0.8533333333333334,0.00709278148721228,0.0021130980704888065,0.007306666666666667,1.7508142939196192
500,1.0,0.001,1.0,5,558,1.0,0.007196387751591957,0.0038260311219100356,0.00744,2.2653291454327613
500,1.0,0.001,1.0,6,646,0.94,0.006831280177160328,0.0006415753355021316,0.008613333333333334,1.716202624188223
500,1.0,0.001,1.0,7,602,1.0,0.006829227228963733,0.0012772166706334993,0.008026666666666666,2.3264824061871887
500,1.0,0.001,1.0,8,669,0.9533333333333334,0.0067966910293529754,0.0012125324378530614,0.00892,1.4186449709172324
500,1.0,0.001,1.0,9,495,0.9333333333333333,0.006693179563640449,0.0004601974721393635,0.0066,2.1680999305622923
500,1.0,0.001,1.0,10,628,0.98,0.006775500412388522,0.000749305055460976,0.008373333333333333,2.0285285051684476
500,1.0,0.001,1.5,1,406,0.8266666666666667,0.0067256742098694205,0.0005510365971964439,0.005413333333333333,1.8502317886383421
500,1.0,0.001,1.5,2,471,0.84,0.006819876402264687,0.00119016402457255,0.00628,1.6702758783933151
500,1.0,0.001,1.5,3,221,0.6,0.006619136262794987,0.0002148456900184629,0.002946666666666667,2.9237002122415365
500,1.0,0.001,1.5,4,475,0.96,0.006800204344815568,0.0007205742811552754,0.006333333333333333,1.8273171997757571
500,1.0,0.001,1.5,5,412,0.9333333333333333,0.006818584904605785,0.0007080016598210522,0.005493333333333334,2.1571043563877432
500,1.0,0.001,1.5,6,284,0.68,0.006674442803930842,0.00031764234332464826,0.0037866666666666665,2.277002337271044
500,1.0,0.001,1.5,7,441,0.9666666666666667,0.0067295704997322415,0.0003860854409132478,0.00588,1.8621291659209298
500,1.0,0.001,1.5,8,508,0.9066666666666666,0.006837596472817464,0.0012942242373055633,0.0067733333333333335,1.5313218386938354
500,1.0,0.001,1.5,9,295,0.78,0.006647614506715039,0.00025420699316939713,0.003933333333333333,2.5985882198962633
500,1.0,0.001,1.5,10,463,0.7333333333333333,0.006690039426110717,0.0004847262162664385,0.006173333333333334,1.642445394238946
500,1.0,0.01,0.5,1,2022,1.0,0.010274152204465712,0.010988918196419185,0.02696,0.8124812698069073
500,1.0,0.01,0.5,2,1746,1.0,0.011388180919373927,0.011649351642670466,0.02328,0.7565719475708006
500,1.0,0.01,0.5,3,2020,1.0,0.010570666702529664,0.01074147459294022,0.026933333333333333,0.8310695038207353
500,1.0,0.01,0.5,4,2185,1.0,0.018077586329019697,0.02755354637206035,0.029133333333333334,0.6206315687233294
500,1.0,0.01,0.5,5,2015,1.0,0.014765556452877852,0.02072621908676561,0.026866666666666667,0.8745602525421494
500,1.0,0.01,0.5,6,1826,1.0,0.010276799888120027,0.013439265293343024,0.024346666666666666,0.8763769204461843
500,1.0,0.01,0.5,7,1687,1.0,0.009044326818807246,0.008247413766026751,0.022493333333333334,1.021983989814358
500,1.0,0.01,0.5,8,2243,1.0,0.013413317673158481,0.017894730234232836,0.029906666666666668,0.657022284279505
500,1.0,0.01,0.5,9,1996,1.0,0.013253943730437156,0.014420022373608916,0.026613333333333333,0.8657273910897034
500,1.0,0.01,0.5,10,2200,1.0,0.011533459199697602,0.014259328993526395,0.029333333333333333,0.6790037253655322
500,1.0,0.01,1.0,1,1329,1.0,0.01089481529064176,0.011893272734643068,0.01772,0.8035821752918506
500,1.0,0.01,1.0,2,1190,1.0,0.008766076352499475,0.008881265968067072,0.015866666666666668,1.0153192951737635
500,1.0,0.01,1.0,3,953,1.0,0.008087224298077142,0.007611112339146149,0.012706666666666666,1.1754237413917685
500,1.0,0.01,1.0,4,898,0.98,0.010183349370795554,0.012193102771297117,0.011973333333333334,1.0035999265333964
500,1.0,0.01,1.0,5,1010,0.9933333333333333,0.008651260065743072,0.008395630396741108,0.013466666666666667,1.211362483463005
500,1.0,0.01,1.0,6,1138,0.9933333333333333,0.010558436338234247,0.012423940437129579,0.015173333333333334,1.0028980657984925
500,1.0,0.01,1.0,7,1392,1.0,0.011034894795985914,0.014775555787637645,0.01856,0.9813513253384407
500,1.0,0.01,1.0,8,1273,0.9933333333333333,0.011535137773047578,0.014089526658758537,0.016973333333333333,0.8179262304120704
500,1.0,0.01,1.0,9,1089,1.0,0.009397959022855633,0.007249356922485771,0.01452,1.14090330024036
500,1.0,0.01,1.0,10,1325,1.0,0.009579960073372557,0.014872683197099256,0.017666666666666667,0.9510784876204872
500,1.0,0.01,1.5,1,1046,0.9933333333333333,0.009244672134574288,0.009011049857768526,0.013946666666666666,0.8085685946298556
500,1.0,0.01,1.5,2,1086,1.0,0.009862775134036389,0.009261530831239508,0.01448,0.8934645641963957
500,1.0,0.01,1.5,3,777,0.9666666666666667,0.008104760191710698,0.006645076365050164,0.01036,1.00103632055349
500,1.0,0.01,1.5,4,955,0.9933333333333333,0.008341939965238665,0.006167751711699261,0.012733333333333333,1.0099885841694527
500,1.0,0.01,1.5,5,942,0.9733333333333334,0.010197154652398894,0.011088391259183537,0.01256,1.0349839795933757
500,1.0,0.01,1.5,6,1056,0.9866666666666667,0.010479673747404356,0.01292137820335911,0.01408,0.805933316502352
