[step],INHIB-FRAC,SEED,mean-firing-rate,excitatory-firing-rate,inhibitory-firing-rate,synchrony-index,fano-factor
500,0.0,1,0.09026666666666666,0.09026666666666666,0.0,0.41674309415657085,2.3515568803781863
500,0.1,1,0.08992,0.08990977443609023,0.09,0.2838231519269838,1.0865336842130273
500,0.2,1,0.08869333333333333,0.08857851239669422,0.08917241379310345,0.3608068007781608,1.731935307777311
500,0.3,1,0.07573333333333333,0.07560377358490566,0.07604545454545454,0.3718300290282319,1.5706060007338625
500,0.4,1,0.0432,0.04626373626373626,0.03847457627118644,0.4674665698194755,1.416041960464137
500,0.0,2,0.09032,0.09032,0.0,0.3774365758649549,1.9300259805113669
500,0.1,2,0.08873333333333333,0.0886875,0.089,0.5117479130123689,3.4857016813491764
500,0.2,2,0.07956,0.07886238532110092,0.08141463414634147,0.4047207935341429,1.9547763198594281
500,0.3,2,0.06324,0.060948453608247424,0.06743396226415094,0.4001826832936546,1.5191466635569266
500,0.4,2,0.00236,0.0,0.005619047619047619,1.581190865755141,0.8850582520974122
500,0.0,3,0.08842666666666667,0.08842666666666667,0.0,0.6798545287626243,6.130649719221318
500,0.1,3,0.08806666666666667,0.08809022556390977,0.08788235294117647,0.3548867960948194,1.6637286685407102
500,0.2,3,0.08710666666666667,0.08696,0.08784,0.32291078700029946,1.362409803534822
500,0.3,3,0.07796,0.07819230769230769,0.07743478260869566,0.3790076872359107,1.6798059947498896
500,0.4,3,0.05445333333333333,0.05442696629213483,0.05449180327868852,0.4243857121645415,1.4710832046070605
500,0.0,4,0.09034666666666667,0.09034666666666667,0.0,0.464856527173402,2.9284732392766615
500,0.1,4,0.08952,0.08949618320610687,0.08968421052631578,0.43791359315465145,2.5750649347548253
500,0.2,4,0.07886666666666667,0.07872413793103449,0.07935294117647058,0.4792339024335741,2.7169385262494576
500,0.3,4,0.049506666666666664,0.05045098039215686,0.0475,0.5623553867346813,2.348424832428123
500,0.4,4,0.01368,0.013121951219512195,0.014352941176470587,0.8986037890334663,1.6569669553532005
500,0.0,5,0.08933333333333333,0.08933333333333333,0.0,0.3435624173987784,1.581670804295159
500,0.1,5,0.0888,0.08875912408759123,0.08923076923076922,0.47081264885500407,2.9525718102872465
